# 4964	2	1	0
0	1.7500091747e-01	1.6000117864e+00	1.3346627143e-01
1	1.6110821747e-01	1.6000117864e+00	1.3543489543e-01
2	1.4372411747e-01	1.6000117864e+00	1.3776353443e-01
3	1.2196941747e-01	1.6000117864e+00	1.4048406443e-01
4	9.4742877469e-02	1.6000117864e+00	1.4360783143e-01
5	6.0663927469e-02	1.6000117864e+00	1.4709010143e-01
6	1.7998087469e-02	1.6000117864e+00	1.5072252143e-01
7	-3.5437792531e-02	1.6000117864e+00	1.5378194143e-01
8	-8.8953962531e-02	1.6000117864e+00	1.5422056143e-01
9	-1.2276158253e-01	1.6000117864e+00	1.5214731143e-01
10	-1.4398648253e-01	1.6000117864e+00	1.4914141143e-01
11	-1.5718518253e-01	1.6000117864e+00	1.4600122143e-01
12	-1.6525698253e-01	1.6000117864e+00	1.4307722043e-01
13	-1.7004128253e-01	1.6000117864e+00	1.4050301543e-01
14	-1.7271238253e-01	1.6000117864e+00	1.3832244043e-01
15	-1.7468398253e-01	1.6000117864e+00	1.3521361143e-01
16	-1.7468428253e-01	1.6000117864e+00	1.3171997643e-01
17	-1.7271308253e-01	1.6000117864e+00	1.2861091543e-01
18	-1.7004218253e-01	1.6000117864e+00	1.2643011543e-01
19	-1.6525798253e-01	1.6000117864e+00	1.2385575843e-01
20	-1.5718618253e-01	1.6000117864e+00	1.2093162143e-01
21	-1.4398748253e-01	1.6000117864e+00	1.1779132143e-01
22	-1.2276248253e-01	1.6000117864e+00	1.1478532143e-01
23	-8.8954782531e-02	1.6000117864e+00	1.1271201143e-01
24	-3.5438452531e-02	1.6000117864e+00	1.1315058143e-01
25	1.7997607469e-02	1.6000117864e+00	1.1620998143e-01
26	6.0663567469e-02	1.6000117864e+00	1.1984240143e-01
27	9.4742627469e-02	1.6000117864e+00	1.2332469143e-01
28	1.2196931747e-01	1.6000117864e+00	1.2644845843e-01
29	1.4372401747e-01	1.6000117864e+00	1.2916899643e-01
30	1.6110821747e-01	1.6000117864e+00	1.3149764143e-01
31	1.7500087770e-01	1.5500117778e+00	1.2799186189e-01
32	1.5936427405e-01	1.5461576878e+00	1.2969094832e-01
33	1.4407517405e-01	1.5456516878e+00	1.3173380032e-01
34	1.2159917668e-01	1.5489136933e+00	1.3490832540e-01
35	9.5344555369e-02	1.5468666906e+00	1.3773988948e-01
36	5.7183405369e-02	1.5471526906e+00	1.4161605948e-01
37	1.7849932739e-02	1.5441206851e+00	1.4456746149e-01
38	-3.5156853317e-02	1.5481986933e+00	1.4815118040e-01
39	-8.7492494631e-02	1.5463026906e+00	1.4845690948e-01
40	-1.2175272332e-01	1.5485416933e+00	1.4662893040e-01
41	-1.4429922230e-01	1.5497917778e+00	1.4360730189e-01
42	-1.5308302200e-01	1.5507576960e+00	1.4169793674e-01
43	-1.6075822332e-01	1.5487816933e+00	1.3922785040e-01
44	-1.6853892230e-01	1.5500807778e+00	1.3594364689e-01
45	-1.7208032332e-01	1.5483356933e+00	1.3332516540e-01
46	-1.7473542230e-01	1.5494377778e+00	1.2958600989e-01
47	-1.7427102200e-01	1.5505736960e+00	1.2533265974e-01
48	-1.7135612200e-01	1.5506576960e+00	1.2193280174e-01
49	-1.6608742332e-01	1.5482026933e+00	1.1861863740e-01
50	-1.5909272726e-01	1.5438856851e+00	1.1535919149e-01
51	-1.5338492332e-01	1.5482316933e+00	1.1425366040e-01
52	-1.4350272332e-01	1.5482416933e+00	1.1207958040e-01
53	-1.2008382332e-01	1.5487906933e+00	1.0890101040e-01
54	-8.9934855946e-02	1.5455156878e+00	1.0675569432e-01
55	-3.7984333317e-02	1.5481576933e+00	1.0743851040e-01
56	1.9146235369e-02	1.5477606906e+00	1.1049362948e-01
57	6.4348016683e-02	1.5481846933e+00	1.1457522040e-01
58	9.4281196683e-02	1.5488946933e+00	1.1765409040e-01
59	1.1992957537e-01	1.5471606906e+00	1.2040166848e-01
60	1.4530957668e-01	1.5480206933e+00	1.2375521740e-01
61	1.6014277668e-01	1.5479836933e+00	1.2574423240e-01
62	1.7500083861e-01	1.5000116063e+00	1.2257055932e-01
63	1.5657483861e-01	1.5010686063e+00	1.2516038532e-01
64	1.3850823861e-01	1.5000236063e+00	1.2753906832e-01
65	1.1892673861e-01	1.5004386063e+00	1.2995262932e-01
66	9.6116193365e-02	1.4933585931e+00	1.3183423972e-01
67	5.7920063365e-02	1.4932445931e+00	1.3572595372e-01
68	1.5663143365e-02	1.4936135931e+00	1.3927143372e-01
69	-3.0243637946e-02	1.4916505897e+00	1.4177190947e-01
70	-8.7408794015e-02	1.4973725997e+00	1.4300168791e-01
71	-1.2044306926e-01	1.4897825863e+00	1.4039001721e-01
72	-1.3605226533e-01	1.4952845964e+00	1.3904367988e-01
73	-1.5018036533e-01	1.4948025964e+00	1.3640193988e-01
74	-1.5923246270e-01	1.4996566030e+00	1.3428427774e-01
75	-1.6813346139e-01	1.5007166063e+00	1.3075008732e-01
76	-1.7214476270e-01	1.4988266030e+00	1.2780847374e-01
77	-1.7472156270e-01	1.4995616030e+00	1.2402552074e-01
78	-1.7426076139e-01	1.5000816063e+00	1.1985556032e-01
79	-1.7113456139e-01	1.4998666063e+00	1.1630321132e-01
80	-1.6632736401e-01	1.4969505997e+00	1.1309435991e-01
81	-1.5855456139e-01	1.4999256063e+00	1.1045718932e-01
82	-1.4990206139e-01	1.5002986063e+00	1.0812936932e-01
83	-1.3876656008e-01	1.5020546096e+00	1.0615846259e-01
84	-1.2243636008e-01	1.5015576096e+00	1.0403823259e-01
