alt,mach,aoa,aos,cl,cd,cs,cml,cmd,cms
10000.0,0.78,0.0,0.0,0.0806851,0.000249142,-1.35085e-13,0.2,1.3e-05,-0.440043
10000.0,0.78,1.0,0.0,0.166844,0.00103553,-6.48669e-13,0.3,0.000221,-0.849785
10000.0,0.78,2.0,0.0,0.253026,0.00240691,-1.69613e-12,0.0,0.000585,-1.264503
10000.0,0.78,4.0,0.0,0.421938,0.00679457,-5.39148e-12,-0.1,0.002061,-2.121476
