mach,alt,aoa,aos,cma,clb,cnb,long_stab,dir_stab,lat_stab
0.1,0,0,0,-0.0312172906137,0,0,Stable,Cnb <= 0.,Clb >= 0.
0.1,0,2,0,-0.0311412640715,-0.00156404190259,5.46113522949e-05,Stable,Stable,Stable
0.1,0,4,0,-0.0309134986041,-0.00312043926306,0.000218201063084,Stable,Stable,Stable
0.1,0,6,0,-0.0305351286756,-0.00466165225903,0.000489966280912,Stable,Stable,Stable
