fuselage1
37.570	1.689
37.569	2.039
37.263	2.133
37.016	2.185
36.521	2.238
36.027	2.273
35.037	2.344
34.290	2.383
33.882	2.396
33.473	2.427
33.064	2.462
32.668	2.491
32.273	2.527
31.826	2.563
31.464	2.588
30.878	2.626
30.407	2.649
29.488	2.694
28.817	2.711
28.239	2.714
27.712	2.714
27.183	2.705
26.656	2.691
26.128	2.677
25.600	2.665
25.073	2.657
24.544	2.652
24.017	2.651
23.164	2.651
19.960	2.651
16.757	2.651
13.553	2.651
10.349	2.651
7.145	2.651
6.763	2.652
6.347	2.650
5.965	2.636
5.389	2.605
4.684	2.540
4.141	2.474
3.657	2.385
3.174	2.264
2.750	2.127
2.418	1.985
2.172	1.852
1.968	1.716
1.790	1.582
1.587	1.415
1.409	1.294
1.251	1.179
1.036	1.077
0.848	0.981
0.687	0.894
0.543	0.798
0.458	0.737
0.399	0.685
0.271	0.562
0.170	0.449
0.068	0.278
0.000	0.000
0.068	-0.313
0.170	-0.467
0.271	-0.572
0.399	-0.674
0.458	-0.715
0.543	-0.769
0.687	-0.844
0.848	-0.914
1.036	-0.994
1.251	-1.063
1.409	-1.090
1.587	-1.121
1.790	-1.133
1.968	-1.147
2.172	-1.162
2.418	-1.180
2.750	-1.208
3.174	-1.248
3.657	-1.291
4.141	-1.318
4.684	-1.340
5.389	-1.366
5.965	-1.382
6.347	-1.388
6.763	-1.390
7.145	-1.394
10.349	-1.394
13.553	-1.394
16.757	-1.394
19.960	-1.394
23.164	-1.394
24.017	-1.394
24.544	-1.391
25.073	-1.376
25.600	-1.351
26.128	-1.316
26.656	-1.273
27.183	-1.222
27.712	-1.159
28.239	-1.081
28.817	-0.986
29.488	-0.872
30.407	-0.649
30.878	-0.527
31.464	-0.372
31.826	-0.275
32.273	-0.150
32.668	-0.034
33.064	0.076
33.473	0.195
33.882	0.310
34.290	0.425
35.037	0.603
36.027	0.829
36.521	0.947
37.016	1.097
37.263	1.192
37.569	1.313
37.570	1.689
