ids,x,y,z,fx,fy,fz,marker
0,0.175,1.6,0.0,0.001571692428505281,0.0011741030492114404,0.001983672213725015,Wing
1,0.1611073,1.6,0.001968624,0.0004451579340810369,7.279386937140588e-05,0.0032491770479402696,Wing
2,0.1437232,1.6,0.004297263,0.0008721787354751992,0.0003464985488752705,0.006631609372029359,Wing
3,0.1219685,1.6,0.007017793,0.0006523564843376377,0.000439363848190768,0.005426158464449477,Wing
4,0.09474196,1.6,0.01014156,0.0009294894440757516,0.0009123656299590022,0.00855425657353252,Wing
5,0.06066301,1.6,0.01362383,0.0007751391551865781,0.0010813750089438694,0.00806511328531178,Wing
6,0.01799717,1.6,0.01725625,0.0004674012750853855,0.0011449350317596972,0.006316456255964154,Wing
7,-0.03543871,1.6,0.02031567,0.00038191001418666693,0.0017548546307264,0.010262741536959977,Wing
8,-0.08895488,1.6,0.02075429,-0.0004933762714339811,0.0024993199397262303,0.01642244430680076,Wing
9,-0.1227625,1.6,0.01868104,-0.0009782305496540472,0.0017258873265834742,0.009928871274113816,Wing
10,-0.1439874,1.6,0.01567514,-0.0014828156654825286,0.0012466827778401537,0.007465136648106,Wing
11,-0.1571861,1.6,0.01253495,-0.0018446960796172308,0.000915343846401203,0.006617749382320583,Wing
12,-0.1652579,1.6,0.009610949,0.0002279281828758328,-5.706027083943335e-05,-0.0005439747751166664,Wing
13,-0.1700422,1.6,0.007036744,-0.00034991688982270004,0.00011933808512255537,0.0005357943814015886,Wing
14,-0.1727133,1.6,0.004856169,0.0008591166567834394,-0.00010666218104433042,-0.0007906391025432771,Wing
15,-0.1746849,1.6,0.00174734,0.006092119395607062,-0.00018617884549358398,-0.0016250208337733744,Wing
16,-0.1746852,1.6,-0.001746295,0.010663558079224545,-0.0010938518846572128,0.003824443921813458,Wing
17,-0.172714,1.6,-0.004855356,0.0010973109933953376,-0.0001543361548939355,0.0010360387910666687,Wing
18,-0.1700431,1.6,-0.007036156,-1.4469417416156464e-05,2.0905532542065087e-06,-2.5278222644836562e-05,Wing
19,-0.1652589,1.6,-0.009610513,0.0018341862510661794,-0.0008296571123648505,0.004448555579066699,Wing
20,-0.1571871,1.6,-0.01253465,-0.0006787703150284315,0.00046297284634655775,-0.0024379121607304714,Wing
21,-0.1439884,1.6,-0.01567495,-0.0017040620027533604,0.0012700105840613755,-0.00884682765750261,Wing
22,-0.1227634,1.6,-0.01868095,-0.0011759525029805774,0.0021462907057101703,-0.012287836118045731,Wing
23,-0.0889557,1.6,-0.02075426,-0.0003163008772999957,0.0018363485588309993,-0.010613032203600029,Wing
24,-0.03543937,1.6,-0.02031569,0.00044267905973504305,0.0016935532665080038,-0.011812211701308493,Wing
25,0.01799669,1.6,-0.01725629,0.0005457949064709363,0.0010627081464959585,-0.0074341750500905674,Wing
26,0.06066265,1.6,-0.01362387,0.000535644753686825,0.0008368411835421075,-0.005550278423975222,Wing
27,0.09474171,1.6,-0.01014158,0.0007960178592360514,0.000831148174488711,-0.007324545630030251,Wing
28,0.1219684,1.6,-0.007017813,0.0004933242793724352,0.0003221877942075829,-0.0041121333884402865,Wing
